CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0022000006459512WH;16/07/2016;21;0,112;R;
ES0022000006459512WH;16/07/2016;22;0,071;R;
ES0022000006459512WH;16/07/2016;23;0,261;R;
ES0022000006459512WH;16/07/2016;24;0,143;R;
ES0022000006459512WH;17/07/2016;1;0,123;R;
ES0022000006459512WH;17/07/2016;2;0,034;R;
ES0022000006459512WH;17/07/2016;3;0,058;R;
ES0022000006459512WH;17/07/2016;4;0,096;R;
ES0022000006459512WH;17/07/2016;5;0,091;R;
ES0022000006459512WH;17/07/2016;6;0,941;R;
ES0022000006459512WH;17/07/2016;7;0,656;R;
ES0022000006459512WH;17/07/2016;8;0,078;R;
ES0022000006459512WH;17/07/2016;9;0,102;R;
ES0022000006459512WH;17/07/2016;10;0,126;R;
ES0022000006459512WH;17/07/2016;11;0,094;R;
ES0022000006459512WH;17/07/2016;12;0,054;R;
ES0022000006459512WH;17/07/2016;13;0,121;R;
ES0022000006459512WH;17/07/2016;14;0,123;R;
ES0022000006459512WH;17/07/2016;15;0,3;R;
ES0022000006459512WH;17/07/2016;16;0,294;R;
ES0022000006459512WH;17/07/2016;17;0,777;R;
ES0022000006459512WH;17/07/2016;18;0,275;R;
ES0022000006459512WH;17/07/2016;19;0,126;R;
ES0022000006459512WH;17/07/2016;20;0,12;R;
ES0022000006459512WH;17/07/2016;21;0,121;R;
ES0022000006459512WH;17/07/2016;22;0,098;R;
ES0022000006459512WH;17/07/2016;23;0,069;R;
ES0022000006459512WH;17/07/2016;24;0,111;R;
ES0022000006459512WH;18/07/2016;1;0,127;R;
ES0022000006459512WH;18/07/2016;2;0,09;R;
ES0022000006459512WH;18/07/2016;3;0,08;R;
ES0022000006459512WH;18/07/2016;4;0,024;R;
ES0022000006459512WH;18/07/2016;5;0,038;R;
ES0022000006459512WH;18/07/2016;6;0,696;R;
ES0022000006459512WH;18/07/2016;7;0,093;R;
ES0022000006459512WH;18/07/2016;8;0,361;R;
ES0022000006459512WH;18/07/2016;9;0,154;R;
ES0022000006459512WH;18/07/2016;10;0,061;R;
ES0022000006459512WH;18/07/2016;11;0,102;R;
ES0022000006459512WH;18/07/2016;12;0,097;R;
ES0022000006459512WH;18/07/2016;13;0,062;R;
ES0022000006459512WH;18/07/2016;14;0,031;R;
ES0022000006459512WH;18/07/2016;15;0,072;R;
ES0022000006459512WH;18/07/2016;16;0,1;R;
ES0022000006459512WH;18/07/2016;17;0,098;R;
ES0022000006459512WH;18/07/2016;18;0,097;R;
ES0022000006459512WH;18/07/2016;19;0,038;R;
ES0022000006459512WH;18/07/2016;20;0,031;R;
ES0022000006459512WH;18/07/2016;21;0,094;R;
ES0022000006459512WH;18/07/2016;22;0,14;R;
ES0022000006459512WH;18/07/2016;23;0,146;R;
ES0022000006459512WH;18/07/2016;24;0,104;R;
ES0022000006459512WH;19/07/2016;1;0,05;R;
ES0022000006459512WH;19/07/2016;2;0,065;R;
ES0022000006459512WH;19/07/2016;3;0,099;R;
ES0022000006459512WH;19/07/2016;4;0,096;R;
ES0022000006459512WH;19/07/2016;5;0,066;R;
ES0022000006459512WH;19/07/2016;6;0,851;R;
ES0022000006459512WH;19/07/2016;7;0,433;R;
ES0022000006459512WH;19/07/2016;8;0,104;R;
ES0022000006459512WH;19/07/2016;9;0,144;R;
ES0022000006459512WH;19/07/2016;10;0,075;R;
ES0022000006459512WH;19/07/2016;11;0,036;R;
ES0022000006459512WH;19/07/2016;12;0,064;R;
ES0022000006459512WH;19/07/2016;13;0,108;R;
ES0022000006459512WH;19/07/2016;14;0,102;R;
ES0022000006459512WH;19/07/2016;15;0,078;R;
ES0022000006459512WH;19/07/2016;16;0,036;R;
ES0022000006459512WH;19/07/2016;17;0,052;R;
ES0022000006459512WH;19/07/2016;18;0,108;R;
ES0022000006459512WH;19/07/2016;19;0,104;R;
ES0022000006459512WH;19/07/2016;20;0,102;R;
ES0022000006459512WH;19/07/2016;21;0,048;R;
ES0022000006459512WH;19/07/2016;22;0,034;R;
ES0022000006459512WH;19/07/2016;23;0,141;R;
ES0022000006459512WH;19/07/2016;24;0,134;R;
ES0022000006459512WH;20/07/2016;1;0,116;R;
ES0022000006459512WH;20/07/2016;2;0,095;R;
ES0022000006459512WH;20/07/2016;3;0,077;R;
ES0022000006459512WH;20/07/2016;4;0,027;R;
ES0022000006459512WH;20/07/2016;5;0,049;R;
ES0022000006459512WH;20/07/2016;6;0,913;R;
ES0022000006459512WH;20/07/2016;7;0,408;R;
ES0022000006459512WH;20/07/2016;8;0,119;R;
ES0022000006459512WH;20/07/2016;9;0,054;R;
ES0022000006459512WH;20/07/2016;10;0,066;R;
ES0022000006459512WH;20/07/2016;11;0,104;R;
ES0022000006459512WH;20/07/2016;12;0,1;R;
ES0022000006459512WH;20/07/2016;13;0,08;R;
ES0022000006459512WH;20/07/2016;14;0,034;R;
ES0022000006459512WH;20/07/2016;15;0,063;R;
ES0022000006459512WH;20/07/2016;16;0,105;R;
ES0022000006459512WH;20/07/2016;17;0,1;R;
ES0022000006459512WH;20/07/2016;18;0,099;R;
ES0022000006459512WH;20/07/2016;19;0,035;R;
ES0022000006459512WH;20/07/2016;20;0,034;R;
ES0022000006459512WH;20/07/2016;21;0,109;R;
ES0022000006459512WH;20/07/2016;22;0,102;R;
